team,team_name,division,gender,competition,region,conference,id
Bentley B,,College,Men,Developmental,New England,Metro Boston Dev,1679
Colby B,,College,Men,Developmental,New England,North New England Dev,1680
Roger Williams,Rainbow Fish,College,Men,Division III,New England,South New England D-III,1681
Bemidji State,,College,Men,Division III,North Central,Northwoods D-III,1682
Augustana,,College,Men,Division III,North Central,Northwoods D-III,1683
St Olaf B,,College,Men,Division III,North Central,North Central DIII,1684
Wilkes,,College,Men,Division III,Ohio Valley,East Penn DIII,1685
Lawrence,Lawrence University Men's Ultimate,College,Women,Division III,North Central,North Central DIII,1686
Macalester B,,College,Women,Division III,North Central,North Central DIII,1687
Montana B,,College,Women,Division I,Northwest,Big Sky DI,1688
Auburn B,,College,Men,,,,1689
Willamette University,,College,Women,Division III,Northwest,Northwest D-III,1690
LeTourneau,,College,Men,,,,1691
Valdosta State,,College,Men,Division I,Southeast,Southern Appalachian DI,1692
Lipscomb,,College,Women,,,,1693
Kean,,College,Men,,,,1694
Louisiana Tech,,College,Men,,,,1695
Florida C,,College,Men,,,,1696
Georgia C,,College,Men,,,,1697
Shippensburg B,,College,Men,Developmental,Ohio Valley,Pennsylvania Dev,1698
Salisbury B,,College,Men,,,,1699
Woodside,Wolverines,College,Men,,,,1700
Longwood,,College,Men,,,,1701
West Florida,,College,Men,,,,1702
Cincinnati B,,College,Men,Developmental,Ohio Valley,Ohio Dev,1703
Young Harris,,College,Men,,,,1704
Southern Polytech State,,College,Men,,,,1705
Southern Utah,,College,Men,,,,1706
SUNY-Cortland,Team Rocket,College,Women,Division III,Metro East,Western NY DIII,1707
Dartmouth B,,College,Women,Developmental,New England,North New England Dev,1708
Elgin CC,,College,Men,,,,1709
Lewis,,College,Women,,,,1710
Bucknell,,College,Women,Division III,Ohio Valley,West Penn DIII,1711
Trinity B,,College,Men,,,,1712
Iowa B,,College,Men,,,,1713
Central Florida B,,College,Women,Developmental,Southeast,Florida Dev,1714
North Carolina-Greensboro,,College,Women,,,,1715
James Madison B,,College,Women,Developmental,Atlantic Coast,Virginia Dev,1716
Smith B,,College,Women,,,,1717
Brown C,,College,Women,Developmental,New England,South New England Dev,1718
Bentley B,,College,Women,Developmental,New England,Metro Boston Dev,1719
Olin,,College,Women,Division III,New England,Metro Boston DIII,1720
Towson A,,College,Women,Division I,Atlantic Coast,Colonial D-I,1721
Wisconsin-La Crosse B,,College,Men,Division I,North Central,Lake Superior DI,1722
Wisconsin-Stout,,College,Men,Division I,North Central,Lake Superior DI,1723
