team_id,team,gender,division,city,state,region,section
22151,Party Cats,Mixed,Club,San Francisco,CA,Southwest,NorCal
22150,Feral Cows,Mixed,Club,Palo Alto,CA,Southwest,NorCal
22149,Bold City,Mixed,Club,Jacksonville,FL,Southeast,Florida
22144,Big Bend,Mixed,Club,Tallahassee,FL,Southeast,Florida
22143,Hairy Otter,Mixed,Club,Nashville,TN,Southeast,East Coast
22137,Huntsville Outlaws,Mixed,Club,Huntsville,AL,Southeast,Gulf Coast
22123,Tex Mix,Mixed,Club,Dallas,TX,South Central,Texas
22120,Trash Pandas,Mixed,Club,Nashville,TN,Southeast,East Coast
22111,Jughandle,Mixed,Club,Princeton,NJ,Mid-Atlantic,Founders
22110,Mixfits,Mixed,Club,Dallas,TX,South Central,Texas
22108,Alchemy,Mixed,Club,San Francisco,CA,Southwest,NorCal
22106,Varsity,Mixed,Club,New York,NY,Northeast,Metro NY
22105,Igneous Ultimate,Mixed,Club,Bend,OR,Northwest,Oregon
22104,Piedmont United,Mixed,Club,Winston-Salem,NC,Southeast,North Carolina
22103,Stoke,Mixed,Club,West Chester,PA,Mid-Atlantic,Founders
22102,Loco,Mixed,Club,West Chester,PA,Mid-Atlantic,Founders
22100,Toro,Mixed,Club,Durham,NC,Southeast,North Carolina
22097,Legion,Mixed,Club,Virginia,VA,Mid-Atlantic,Capital
22095,Stormborn,Mixed,Club,Washington,DC,Mid-Atlantic,Capital
22093,APEX,Mixed,Club,Charleston,SC,Southeast,East Coast
22088,Ant Madness,Mixed,Club,Arlington,VA,Mid-Atlantic,Capital
22086,Snake Country,Mixed,Club,Boston,MA,Northeast,East New England
22085,NC Galaxy,Mixed,Club,Chapel Hill,NC,Southeast,North Carolina
22084,Malice in Wonderland,Mixed,Club,Raleigh,NC,Southeast,North Carolina
22082,Lotus,Mixed,Club,Los Angeles,CA,Southwest,So Cal
22080,Firefly,Mixed,Club,San Francisco,CA,Southwest,NorCal
22078,Risky Business,Mixed,Club,Dallas,TX,South Central,Texas
22076,Metro North,Mixed,Club,Mianus,CT,Northeast,Metro NY
22072,Alpha,Mixed,Club,The Woodlands,TX,South Central,Texas
22060,Turnstyle,Mixed,Club,New York,NY,Northeast,Metro NY
22058,EMU,Mixed,Club,Evanston,IL,Great Lakes,Central Plains
22053,Unlimited Swipes,Mixed,Club,New York,NY,Northeast,Metro NY
22052,Absolute Zero,Mixed,Club,Santa Clara,CA,Southwest,NorCal
22051,Wildstyle,Mixed,Club,Austin,TX,South Central,Texas
22044,Happy Cows,Mixed,Club,San Francisco Bay Area,CA,,
22043,Impact,Mixed,Club,Wichita,KS,North Central,West Plains
22042,Robot,Mixed,Club,Santa Barbara,CA,Southwest,So Cal
22040,Mischief,Mixed,Club,San Francisco Bay Area,CA,Southwest,NorCal
22036,Rubix,Mixed,Club,Phoenix,AZ,Southwest,So Cal
22033,Memphis STAX,Mixed,Club,Memphis,TN,Southeast,Gulf Coast
22031,SlipStream,Mixed,Club,Indianapolis,IN,Great Lakes,Central Plains
22025,ELevate,Mixed,Club,Chicago,IL,Great Lakes,Central Plains
22021,LudICRous,Mixed,Club,Cedar Rapids,IA,North Central,West Plains
22017,Pi+,Mixed,Club,Lexington,KY,Great Lakes,East Plains
22017,Pi+,Mixed,Club,Lexington,KY,Great Lakes,East Plains
22004,Robotic Snakes,Mixed,Club,Lincoln,NE,North Central,West Plains
21999,Mixchief,Mixed,Club,WEST PALM BEACH,FL,Southeast,Florida
21996,Weird,Mixed,Club,Florida,FL,Southeast,Florida
21995,BATL Cows,Mixed,Club,Atlanta,GA,Southeast,East Coast
