team_id,team,team_name,division,gender,competition,region,conference
23116,SUNY-Stony Brook,Panic,College,Men,Developmental,Metro East,Metro East Dev
24922,Towson,Pandamonium,College,Men,Division I,Atlantic Coast,Colonial DI
24532,Charleston,Palmetto Bums,College,Men,Division I,Atlantic Coast,Carolina DI
23209,Dartmouth,Pain Train,College,Men,Division I,New England,North New England DIII
24501,Oregon State B,Oregon State B,College,Men,Developmental,Northwest,Cascadia DI
23273,Northwestern,NUT,College,Men,Division I,Great Lakes,Illinois DI
23076,Pennsylvania B,Null,College,Men,Developmental,Ohio Valley,Ohio Valley Dev
23876,Minnesota-Duluth,Northern Lights,College,Men,Division I,North Central,Northwoods DI
23568,Appalachian State,Nomads,College,Men,Division I,Atlantic Coast,Carolina DI
23256,Alabama-Huntsville,Nightmares,College,Men,Division I,Southeast,Gulf Coast DI
23665,California-Irvine,Nightlife,College,Men,Division I,Southwest,SoCal DI
24642,Virginia,Night Train,College,Men,Division I,Atlantic Coast,Virginia DI
24554,Wesleyan,Nietzsch Factor,College,Men,Division III,Metro East,Hudson Valley DIII
24699,NYU,New York University,College,Men,Division I,Metro East,Metro NY DI
23271,New Hampshire,New Hampshire Ultimate Team,College,Men,Division I,New England,Greater New England DI
23377,North Carolina State,NC State Alpha,College,Men,Division I,Atlantic Coast,Carolina DI
24390,Ithaca,Nawshus Ultimate,College,Men,Division III,Metro East,Western NY DIII
